,Video,Video publish time,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
214,NsxJ8RYRkkM,2013-11-07,19.0,1.2786,0.0,829,0.48
215,qxUYmcSMQB4,2019-06-17,19.0,0.7878,0.0,833,1.32
216,4AWR0BKDJCE,2013-11-19,18.0,0.2679,0.0,862,1.04
217,_a8CWTmPvko,2019-05-08,18.0,0.1104,0.0,432,1.62
218,u8LBBRmGVFM,2019-12-28,18.0,0.7627,0.0,579,1.55
219,RpHHJP8MLYI,2015-02-19,17.0,0.826,0.0,435,0.69
220,_fcQW3nRfvg,2012-08-13,17.0,1.5626,0.0,1389,0.58
221,Ch6k2wEOjHk,2017-05-15,16.0,0.2836,0.0,190,1.05
222,Zc9yYyrv4Fo,2020-03-09,16.0,0.3315,0.0,473,0.63
223,cpcq9eM2NT0,2019-05-05,16.0,0.6035,0.0,604,0.66
224,Cdwwy6W3tIA,2012-05-09,15.0,1.1938,0.0,366,1.09
225,YvRxX0NSqkg,2012-05-02,15.0,0.1764,0.0,1100,0.27
226,ZF1N78wGbro,2014-12-10,14.0,0.37,0.0,505,0.79
227,n_WTGMnGv_o,2014-11-19,14.0,0.1171,0.0,429,0.0
228,ppisJdNwnK0,2019-06-17,14.0,2.126,0.0,853,0.82
229,OOItgGX78P0,2019-03-05,13.0,0.3925,0.0,573,0.35
230,m8rYo4O4P-0,2012-05-31,13.0,0.1705,0.0,1198,0.5
231,rq4yaa-ro9Q,2014-12-10,13.0,0.1755,0.0,517,1.35
232,O0C07tzlVyM,2012-06-11,12.0,2.1769,0.0,364,1.37
233,OG7JocUMkgM,2014-06-12,12.0,0.2396,0.0,242,3.31
234,OhApPVO6wOY,2020-08-04,12.0,0.5043,0.0,361,1.39
235,dEg2qE2_fsc,2012-05-02,12.0,2.2838,0.0,293,2.39
236,wNoBixztdhQ,2019-12-28,12.0,0.4674,0.0,446,1.57
237,3q0qw-sZamk,2012-10-03,11.0,0.8134,0.0,212,3.3
238,ASD81xd0J1Y,2012-08-10,11.0,1.33,0.0,368,1.63
239,yxCElWgSU0c,2013-11-18,11.0,0.18100000000000002,0.0,409,0.98
240,3BOfwVzcdbY,2020-08-07,10.0,0.2089,0.0,400,1.75
241,DnAs5Ow7SZA,2013-11-18,10.0,0.1449,0.0,346,0.58
242,JVkEnJUAdTA,2012-10-01,10.0,0.1385,0.0,261,1.92
243,XeRMT_5mpis,2013-11-07,10.0,0.4777,0.0,315,1.59
244,ZFiDJwrAdLQ,2014-12-10,10.0,0.0993,0.0,583,0.34
245,jLrG1oIq8zg,2019-03-27,10.0,0.3508,0.0,1186,0.51
246,lfLLxF5h7OE,2011-12-09,9.0,0.1087,0.0,1077,0.28
247,qLw8whcsCfU,2016-04-29,9.0,0.1206,0.0,137,1.46
248,vMLFe_45FfM,2017-08-23,9.0,0.2396,0.0,427,0.47
249,GX0Bkocmopg,1970-01-01,8.0,0.4052,0.0,38,2.63
250,8f6uz1LKqeU,2018-02-24,7.0,1.3173,0.0,95,2.11
251,SvfgcvmvFfA,2013-11-18,7.0,0.1405,0.0,417,0.72
252,at9i79FQ7zE,2011-12-09,7.0,0.084,0.0,306,0.98
253,1YW-WqHdjpI,2012-06-04,6.0,2.4908,0.0,638,0.63
254,3wnPNAgSDWY,2012-08-10,6.0,0.1565,0.0,260,0.38
255,7-oXMUrVBQ0,2013-11-07,6.0,0.7223,0.0,224,0.45
256,IlVfqpx52wk,2013-11-12,6.0,0.0521,0.0,323,1.24
257,a_FO3w8d60E,2020-07-09,6.0,0.0134,0.0,581,0.69
258,qBHrktvyQo0,2013-11-07,6.0,0.0429,0.0,270,1.11
259,lMY-AOgXPew,2011-12-05,5.0,0.0652,0.0,1309,0.23
260,vj_y-GvWc4c,2015-12-19,5.0,0.0211,0.0,509,0.59
261,CdcCjeiEtWg,2019-03-04,4.0,0.1374,0.0,478,0.21
262,CoDHab-SqGI,2012-09-12,4.0,0.079,0.0,252,1.19
263,FCO7DksLF2A,2013-11-07,4.0,0.2105,0.0,793,0.5
264,odkjchmOBxY,2013-03-13,4.0,0.2018,0.0,216,0.46
265,buYFbvPRvmM,2013-11-07,3.0,0.005,0.0,178,0.0
266,yWzHHz9xSoY,2012-02-10,3.0,0.0321,0.0,223,0.45
267,BBDwDfETqk4,2013-11-07,2.0,0.0035,0.0,358,0.28
268,H3ZVLksBgg0,2015-02-24,2.0,0.057999999999999996,0.0,111,1.8
269,IYiw4PyLqTg,2011-12-10,2.0,0.0004,0.0,467,0.21
270,Ozc_WGCcIGY,2015-08-13,2.0,0.0726,0.0,166,1.2
271,PnQhLb6EvKw,2013-11-07,2.0,0.0115,0.0,315,0.32
272,R1Pqri0rTJY,2015-04-29,,,,1,0.0
