Date,Post ID,Type,Lifetime Post Total Impressions,Lifetime Post Total Reach,Lifetime Total Video Views,Lifetime Unique Video Views,Posted,Lifetime Total 30-Second Views,year,month,source,yearStr
9/25/2018,163815626997995_300668803865600,Video,342,264,99,84,9/25/2018 16:28,22,2018,9,Facebook,2018
8/14/2018,163815626997995_1844212272291647,SharedVideo,1116,674,107,97,8/14/2018 20:40,0,2018,8,Facebook,2018
6/18/2018,163815626997995_1754493201263555,SharedVideo,185,169,122,119,6/18/2018 17:58,0,2018,6,Facebook,2018
8/28/2018,163815626997995_1865377990175075,SharedVideo,87,62,32,32,8/28/2018 14:56,0,2018,8,Facebook,2018
8/12/2018,163815626997995_1839846549394886,SharedVideo,1331,738,107,104,8/12/2018 7:22,0,2018,8,Facebook,2018
10/10/2018,163815626997995_1915063115206562,SharedVideo,83,72,30,28,10/10/2018 10:59,0,2018,10,Facebook,2018
6/21/2018,163815626997995_1758500304196178,SharedVideo,70,57,40,37,6/21/2018 11:23,0,2018,6,Facebook,2018
7/21/2018,163815626997995_1804340856278789,SharedVideo,170,153,134,129,7/21/2018 13:22,0,2018,7,Facebook,2018
11/26/2018,163815626997995_1978854945494045,SharedVideo,259,177,15,14,11/26/2018 9:01,0,2018,11,Facebook,2018
7/10/2018,163815626997995_1787514471294761,SharedVideo,201,186,177,166,7/10/2018 9:14,0,2018,7,Facebook,2018
6/27/2018,163815626997995_1767936213252587,SharedVideo,56,50,21,18,6/27/2018 13:04,0,2018,6,Facebook,2018
6/21/2018,163815626997995_1758346960878179,SharedVideo,150,143,74,73,6/21/2018 9:14,0,2018,6,Facebook,2018
7/19/2018,163815626997995_1800655736647301,SharedVideo,69,55,12,12,7/19/2018 6:15,0,2018,7,Facebook,2018
7/26/2018,163815626997995_1811689678877240,SharedVideo,57,43,13,13,7/26/2018 5:22,0,2018,7,Facebook,2018
7/6/2018,163815626997995_1781335165246025,SharedVideo,219,201,166,161,7/6/2018 4:12,0,2018,7,Facebook,2018
6/20/2018,163815626997995_1756856687693873,SharedVideo,161,149,98,95,6/20/2018 9:10,0,2018,6,Facebook,2018
8/21/2018,163815626997995_1855467804499427,SharedVideo,817,527,136,135,8/21/2018 13:37,0,2018,8,Facebook,2018
8/5/2019,163815626997995_2360857287293807,SharedVideo,249,201,74,68,8/5/2019 8:51,0,2019,8,Facebook,2019
7/29/2019,163815626997995_2349306381782231,SharedVideo,375,295,88,84,7/29/2019 9:35,0,2019,7,Facebook,2019
10/7/2019,163815626997995_2473183669394501,SharedVideo,154,123,40,39,10/7/2019 10:42,0,2019,10,Facebook,2019
